@RELATION trainedClassifier/svmNoLapelModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {speech,non-speech}

@DATA
0.088446,0.004153,3.121866,0.190494,0.222360,0.719794,0.005142,0.118481,-26.681084,1.853768,0.898853,-0.033917,-1.035058,-0.120659,0.173008,0.122113,-0.230175,-0.200995,-0.071298,-0.043697,-0.164333,0.031433,0.011644,0.024117,0.019510,0.019562,0.012867,0.016193,0.001371,0.008254,0.014048,0.019886,0.007948,0.017975,0.044180,0.004008,0.149516,0.039638,0.023505,0.469774,0.003462,0.080504,1.106343,0.524692,0.486172,0.277402,0.327612,0.240028,0.245678,0.230843,0.240139,0.201833,0.199082,0.177397,0.171765,0.027801,0.013645,0.019872,0.020357,0.019267,0.012190,0.012853,0.001747,0.008571,0.011995,0.018487,0.010309,0.008928,speech
0.088473,0.009826,3.097024,0.185551,0.216716,0.687990,0.005771,0.124249,-26.225989,1.786414,0.768752,-0.077754,-1.196340,-0.030819,0.126181,0.050540,-0.227822,-0.162632,-0.000702,-0.013475,-0.128898,0.022992,0.009297,0.029206,0.019434,0.019432,0.021782,0.015068,0.002603,0.008349,0.012730,0.014806,0.011935,0.018631,0.047347,0.009943,0.193349,0.051508,0.032394,0.506402,0.004117,0.087620,1.547266,0.497447,0.535099,0.324139,0.366775,0.283250,0.296314,0.258039,0.247829,0.206236,0.212021,0.185024,0.180773,0.022342,0.012259,0.025096,0.021412,0.019075,0.023151,0.011349,0.004045,0.008412,0.012510,0.013145,0.014997,0.010736,speech
0.063752,0.013412,3.044871,0.154264,0.203120,0.446702,0.010507,0.079710,-26.604444,2.231096,0.612520,-0.315237,-0.983085,0.021873,0.083500,0.163532,-0.207354,-0.147753,-0.056739,-0.031416,-0.018522,0.025890,0.010176,0.037828,0.020555,0.020288,0.011521,0.014061,0.002094,0.013839,0.011144,0.017567,0.007831,0.021578,0.039390,0.012244,0.244989,0.048744,0.037036,0.400049,0.008211,0.069152,1.728952,0.733865,0.714908,0.370212,0.383064,0.306890,0.319541,0.239730,0.248200,0.197899,0.203456,0.195957,0.172939,0.031866,0.013290,0.030978,0.020490,0.020434,0.011528,0.013015,0.003536,0.017015,0.012155,0.017695,0.010216,0.010824,speech
0.073674,0.010267,3.064181,0.176856,0.223361,0.515071,0.005765,0.091649,-25.712089,1.947753,0.780268,-0.011295,-1.109521,0.024733,0.138532,0.076367,-0.250545,-0.172428,-0.015997,0.030171,-0.120337,0.026986,0.007871,0.026453,0.018705,0.022741,0.015616,0.018070,0.002156,0.011542,0.017115,0.018891,0.009952,0.017965,0.037654,0.010592,0.219390,0.045313,0.027881,0.387699,0.003613,0.064965,1.387139,0.573642,0.552078,0.324097,0.375698,0.270006,0.270106,0.206571,0.246170,0.192479,0.188425,0.172636,0.173240,0.025386,0.009025,0.019886,0.018560,0.019335,0.015514,0.014838,0.002934,0.013410,0.016026,0.016565,0.011891,0.008650,speech
0.077013,0.010083,3.077981,0.155421,0.171903,0.738318,0.008198,0.126667,-25.690047,1.229075,0.795388,-0.216477,-0.986895,-0.044392,-0.160847,0.071963,-0.388977,-0.308733,-0.204643,-0.102715,-0.212667,0.025615,0.008702,0.023902,0.024360,0.022865,0.014225,0.010921,0.001395,0.005530,0.013759,0.011304,0.006293,0.022588,0.042619,0.008192,0.251031,0.041736,0.025340,0.503452,0.005288,0.085805,1.244841,0.687895,0.620540,0.493178,0.400075,0.360106,0.304093,0.317405,0.297700,0.320789,0.319917,0.283358,0.278562,0.029932,0.012265,0.026801,0.025678,0.027561,0.020028,0.011400,0.001799,0.007159,0.014359,0.013793,0.009651,0.013259,speech
0.124390,0.017150,3.098251,0.199387,0.179763,1.109939,0.005333,0.195966,-25.346778,1.058324,1.094774,-0.004937,-0.941788,-0.336891,-0.002176,0.040071,-0.392735,-0.251609,-0.194132,-0.066045,-0.228026,0.018597,0.004966,0.016579,0.026302,0.017193,0.017407,0.009937,0.001721,0.007056,0.008980,0.009671,0.010091,0.018301,0.075375,0.014401,0.216080,0.056168,0.025319,0.527802,0.003948,0.116259,1.536949,0.650351,0.457382,0.413655,0.345488,0.328034,0.305679,0.263870,0.271653,0.302016,0.275316,0.264261,0.279692,0.023360,0.006287,0.019282,0.032346,0.020703,0.024505,0.011988,0.001762,0.010871,0.011169,0.011515,0.013498,0.012670,speech
0.092080,0.013225,3.114533,0.172458,0.178005,0.768337,0.006941,0.137169,-25.777591,1.430581,0.981661,-0.225663,-1.035002,-0.082592,-0.049216,0.016478,-0.294796,-0.259529,-0.119463,-0.139426,-0.374906,0.028833,0.008256,0.023181,0.019930,0.017345,0.009113,0.010758,0.001868,0.005700,0.014023,0.020265,0.013726,0.021669,0.062394,0.011329,0.185633,0.051786,0.028891,0.493309,0.004343,0.104635,1.378917,0.659935,0.542610,0.504121,0.359157,0.370830,0.302319,0.329354,0.287638,0.316459,0.327068,0.269863,0.330846,0.033979,0.011834,0.028501,0.025110,0.021324,0.011825,0.014462,0.003030,0.008406,0.018244,0.025485,0.021560,0.012519,speech
0.107594,0.023244,3.108166,0.188238,0.183882,0.843089,0.008239,0.168461,-25.326572,1.598427,1.052658,0.009814,-1.061364,-0.255464,-0.143842,-0.039948,-0.210400,-0.183706,-0.092116,-0.074561,-0.359620,0.028039,0.007163,0.012097,0.022290,0.019829,0.007490,0.007370,0.000946,0.008467,0.020484,0.022630,0.010273,0.020818,0.078668,0.020946,0.181863,0.063601,0.028798,0.597547,0.006847,0.129426,1.604400,0.602722,0.526903,0.438849,0.350295,0.365088,0.302423,0.302184,0.296867,0.289256,0.270375,0.269702,0.269560,0.031637,0.011458,0.012775,0.032439,0.020496,0.009686,0.006319,0.001237,0.011348,0.021662,0.029459,0.016437,0.012539,speech
0.116357,0.014982,3.113093,0.198278,0.189084,1.021624,0.005320,0.179152,-25.438984,1.347212,1.136710,0.271716,-0.687374,-0.230769,0.050597,0.101927,-0.395146,-0.187243,-0.009998,0.022264,-0.302756,0.018645,0.002558,0.013846,0.011274,0.010462,0.008577,0.013902,0.002175,0.009766,0.027850,0.029475,0.003095,0.017881,0.068733,0.010338,0.289116,0.051853,0.031478,0.554020,0.004678,0.109309,1.452222,0.717401,0.438190,0.249086,0.343408,0.265299,0.287220,0.216395,0.202857,0.212973,0.204183,0.214972,0.227131,0.019783,0.002753,0.016638,0.012677,0.010868,0.010175,0.013927,0.002649,0.013122,0.028844,0.034412,0.003546,0.012094,speech
0.082833,0.023310,3.097103,0.160157,0.178480,0.676266,0.008297,0.127391,-24.678929,1.369023,0.809083,-0.213887,-1.155252,-0.000078,-0.173117,0.143854,-0.342180,-0.233722,-0.131877,-0.073709,-0.241107,0.018567,0.009890,0.015859,0.020792,0.022369,0.010405,0.009931,0.001543,0.011536,0.016223,0.016314,0.011814,0.020553,0.060935,0.022262,0.195436,0.053534,0.026775,0.488109,0.004634,0.102435,1.364422,0.627511,0.716680,0.502672,0.385877,0.348238,0.300354,0.286692,0.308257,0.278418,0.278171,0.262962,0.290243,0.019813,0.017824,0.018190,0.027242,0.025150,0.015211,0.011950,0.002424,0.014978,0.016086,0.018999,0.019562,0.010639,speech
0.066138,0.027482,3.058468,0.149445,0.184189,0.502429,0.011636,0.098713,-24.990765,1.817443,1.066148,-0.112661,-1.055511,-0.003959,-0.140716,0.056178,-0.313710,-0.267843,-0.100557,-0.030111,-0.172678,0.020149,0.008632,0.022838,0.021558,0.020628,0.015855,0.018814,0.001060,0.012764,0.022170,0.026647,0.007534,0.026023,0.048436,0.024034,0.268520,0.050043,0.028939,0.434362,0.008856,0.089839,1.418446,0.615909,0.578889,0.482551,0.366600,0.297953,0.340538,0.286103,0.288963,0.307805,0.289828,0.291455,0.296207,0.025824,0.015638,0.024853,0.024589,0.021889,0.023691,0.021731,0.001483,0.016161,0.024159,0.030668,0.012007,0.012287,speech
0.090426,0.022188,3.116103,0.173822,0.188348,0.744971,0.007800,0.141798,-24.934883,1.449623,0.934330,0.028752,-0.945344,-0.100531,-0.126403,0.070626,-0.402855,-0.280603,-0.092014,-0.028230,-0.215091,0.015085,0.007233,0.021228,0.020192,0.028686,0.014523,0.011187,0.001346,0.008271,0.023387,0.017635,0.006242,0.021391,0.062114,0.021965,0.189620,0.056616,0.029262,0.509170,0.005946,0.109195,1.509699,0.562528,0.541952,0.481759,0.381745,0.338420,0.306573,0.265061,0.300442,0.299098,0.285294,0.267366,0.286666,0.017351,0.010783,0.026737,0.022123,0.032425,0.019435,0.011339,0.001579,0.013036,0.026804,0.018811,0.010877,0.011735,speech
0.098895,0.015995,3.124814,0.177418,0.178451,0.894657,0.006843,0.157665,-25.384216,1.267321,1.037664,-0.200992,-1.001688,-0.091495,-0.106539,0.038863,-0.317073,-0.223757,-0.161402,-0.178640,-0.404910,0.032795,0.009019,0.022464,0.020068,0.014894,0.009550,0.011794,0.002957,0.005287,0.010873,0.018308,0.010631,0.022061,0.061477,0.013929,0.210767,0.050152,0.024801,0.492798,0.004842,0.105358,1.391797,0.695996,0.494368,0.501884,0.373622,0.322152,0.316583,0.343305,0.274510,0.303710,0.282722,0.301679,0.301604,0.033965,0.014128,0.025195,0.030847,0.017376,0.014897,0.015308,0.004520,0.007450,0.013176,0.021413,0.015157,0.012522,speech
0.085892,0.008275,3.092003,0.160478,0.174836,0.772774,0.006147,0.132917,-25.640319,1.035631,0.903554,0.013521,-1.098360,0.047106,-0.160575,0.143348,-0.306700,-0.179490,-0.065351,0.028254,-0.243017,0.013221,0.009700,0.014989,0.013424,0.019493,0.008995,0.012452,0.001612,0.006310,0.018546,0.017716,0.008833,0.015975,0.043616,0.007522,0.214895,0.041271,0.024937,0.435976,0.004280,0.077411,1.261760,0.623955,0.586298,0.424070,0.341409,0.346497,0.288514,0.293388,0.271880,0.251646,0.281633,0.276635,0.265914,0.015778,0.016074,0.014410,0.012976,0.019697,0.009832,0.015911,0.002234,0.007806,0.019927,0.017816,0.011947,0.008996,speech
0.077142,0.009491,3.111507,0.176033,0.213386,0.619661,0.006419,0.106205,-26.006312,1.921262,0.818753,0.010400,-1.125553,-0.127207,0.171431,0.072509,-0.170604,-0.173411,-0.026144,-0.017753,-0.124123,0.020539,0.008086,0.028094,0.019884,0.020203,0.016687,0.014019,0.001520,0.009386,0.018507,0.019725,0.010977,0.018976,0.038130,0.009874,0.182253,0.039729,0.024516,0.414956,0.004294,0.072779,1.254188,0.485694,0.475403,0.312057,0.333022,0.240288,0.278858,0.199467,0.259998,0.199222,0.211179,0.173797,0.180652,0.019835,0.010249,0.022313,0.023110,0.021718,0.021866,0.010346,0.001857,0.011199,0.018366,0.018002,0.010686,0.009382,speech
0.072909,0.023126,3.107897,0.158715,0.184429,0.634430,0.007388,0.113562,-24.622307,1.579250,0.834121,-0.182326,-0.964359,-0.085568,-0.173645,0.087233,-0.373673,-0.219509,-0.148161,-0.071485,-0.262747,0.033191,0.010638,0.023630,0.016540,0.021404,0.023153,0.012529,0.001476,0.008124,0.016908,0.014191,0.010946,0.024148,0.044947,0.021424,0.170173,0.040624,0.025249,0.413506,0.005119,0.084055,1.228229,0.474843,0.601797,0.473755,0.359327,0.329576,0.297183,0.309080,0.302489,0.304235,0.299006,0.290825,0.332874,0.035286,0.014550,0.025536,0.020613,0.021550,0.032858,0.012337,0.001524,0.013373,0.022302,0.015777,0.016515,0.011710,speech
0.111502,0.014334,3.114490,0.196657,0.202229,1.066380,0.004258,0.178457,-25.206220,1.045172,0.799656,-0.116861,-0.752273,-0.149255,0.080250,-0.108970,-0.435156,-0.279377,-0.029103,-0.007593,-0.169767,0.017897,0.004342,0.015217,0.018934,0.032072,0.016170,0.013570,0.003415,0.009041,0.007099,0.011138,0.007426,0.016675,0.048925,0.013891,0.197168,0.048803,0.030907,0.463997,0.002353,0.091486,1.616451,0.546423,0.563076,0.405851,0.294910,0.286771,0.259856,0.232874,0.268219,0.234951,0.245441,0.265860,0.273272,0.018582,0.005022,0.013082,0.021117,0.033801,0.017567,0.012355,0.004272,0.011544,0.005976,0.010644,0.009598,0.009178,speech
0.082883,0.009545,3.104948,0.176867,0.203123,0.788411,0.005929,0.121321,-25.817111,1.176076,0.966023,0.058025,-0.784835,-0.130660,0.194550,0.141338,-0.396370,-0.200513,-0.066629,-0.003586,-0.259801,0.020090,0.004388,0.022938,0.014979,0.019752,0.013216,0.016151,0.002068,0.007170,0.020802,0.024111,0.006425,0.020318,0.035498,0.009860,0.280495,0.040342,0.033148,0.427445,0.005217,0.070029,1.488454,0.686686,0.481615,0.463752,0.292485,0.283517,0.257435,0.220490,0.254017,0.231754,0.201195,0.235989,0.235464,0.023179,0.005771,0.030823,0.020378,0.019914,0.016692,0.016305,0.002860,0.009467,0.021725,0.023483,0.007451,0.012531,speech
0.076421,0.010789,3.111473,0.162080,0.187057,0.625885,0.006935,0.109936,-25.648777,1.411990,0.661586,0.073280,-0.667134,-0.095203,-0.057746,-0.101949,-0.372222,-0.395560,-0.032964,-0.029329,-0.385447,0.047679,0.006028,0.025633,0.019163,0.029964,0.010005,0.011028,0.002475,0.005752,0.012312,0.016595,0.009648,0.025276,0.047578,0.009896,0.228358,0.046049,0.028583,0.465371,0.004986,0.086858,1.439135,0.705032,0.727516,0.464374,0.343329,0.303084,0.254968,0.219632,0.228158,0.236034,0.269300,0.267419,0.282901,0.056930,0.008934,0.032714,0.021286,0.030027,0.010302,0.011328,0.004129,0.006671,0.011991,0.020380,0.012361,0.016088,speech
0.076421,0.010789,3.111473,0.162080,0.187057,0.625885,0.006935,0.109936,-25.648777,1.411990,0.661586,0.073280,-0.667134,-0.095203,-0.057746,-0.101949,-0.372222,-0.395560,-0.032964,-0.029329,-0.385447,0.047679,0.006028,0.025633,0.019163,0.029964,0.010005,0.011028,0.002475,0.005752,0.012312,0.016595,0.009648,0.025276,0.047578,0.009896,0.228358,0.046049,0.028583,0.465371,0.004986,0.086858,1.439135,0.705032,0.727516,0.464374,0.343329,0.303084,0.254968,0.219632,0.228158,0.236034,0.269300,0.267419,0.282901,0.056930,0.008934,0.032714,0.021286,0.030027,0.010302,0.011328,0.004129,0.006671,0.011991,0.020380,0.012361,0.016088,speech
0.072470,0.016714,3.090921,0.167612,0.199113,0.588591,0.006677,0.102010,-25.189288,1.421577,0.654737,0.073039,-0.832538,-0.208498,0.043876,-0.060068,-0.287683,-0.308491,-0.131978,-0.060860,-0.228464,0.016956,0.007667,0.020648,0.023388,0.034042,0.021146,0.012289,0.003021,0.006746,0.019770,0.016119,0.006144,0.022120,0.037071,0.016649,0.250918,0.041117,0.031130,0.389325,0.004303,0.074778,1.445276,0.631842,0.595949,0.504438,0.296151,0.306897,0.252814,0.235499,0.244024,0.250799,0.243459,0.246392,0.249563,0.018471,0.009393,0.022940,0.024363,0.029380,0.029984,0.012583,0.004936,0.007897,0.018493,0.016690,0.009133,0.011304,speech
